Date, Open , High , Low , Close , Adj_Close , Volume 
09/01/2018, 22.34 , 22.59 , 21.83 , 22.25 , 22.25 ," 107,199,000.00 "
10/01/2018, 22.15 , 22.47 , 22.00 , 22.32 , 22.32 ," 64,648,500.00 "
11/01/2018, 22.35 , 22.99 , 22.22 , 22.53 , 22.53 ," 99,682,500.00 "
12/01/2018, 22.58 , 22.69 , 22.24 , 22.41 , 22.41 ," 72,376,500.00 "
16/01/2018, 22.50 , 23.00 , 22.32 , 22.67 , 22.67 ," 97,114,500.00 "
17/01/2018, 22.70 , 23.27 , 22.65 , 23.14 , 23.14 ," 106,552,500.00 "
18/01/2018, 23.04 , 23.49 , 22.92 , 22.97 , 22.97 ," 85,287,000.00 "
19/01/2018, 23.00 , 23.37 , 22.84 , 23.33 , 23.33 ," 73,324,500.00 "
22/01/2018, 23.29 , 23.86 , 23.28 , 23.44 , 23.44 ," 93,156,000.00 "
23/01/2018, 24.00 , 24.03 , 23.40 , 23.52 , 23.52 ," 81,981,000.00 "
24/01/2018, 23.64 , 23.65 , 22.90 , 23.06 , 23.06 ," 79,312,500.00 "
25/01/2018, 23.22 , 23.28 , 22.43 , 22.51 , 22.51 ," 101,104,500.00 "
26/01/2018, 22.77 , 22.93 , 22.38 , 22.86 , 22.86 ," 68,091,000.00 "
29/01/2018, 22.66 , 23.39 , 22.55 , 23.30 , 23.30 ," 71,206,500.00 "
30/01/2018, 23.01 , 23.22 , 22.81 , 23.05 , 23.05 ," 70,765,500.00 "
31/01/2018, 23.17 , 23.75 , 23.01 , 23.62 , 23.62 ," 93,211,500.00 "
01/02/2018, 23.40 , 23.98 , 23.24 , 23.28 , 23.28 ," 62,965,500.00 "
02/02/2018, 23.23 , 23.46 , 22.70 , 22.92 , 22.92 ," 55,572,000.00 "
05/02/2018, 22.53 , 22.96 , 22.20 , 22.21 , 22.21 ," 66,961,500.00 "
06/02/2018, 21.68 , 22.41 , 21.57 , 22.26 , 22.26 ," 76,326,000.00 "
